Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
32492682,Mroczna materia,Blake Crouch,"Crouch, Blake",Paweł Wieczorek,"=""8365521784""","=""9788365521781""",0,4.14,Zysk i S-ka,Hardcover,344,2016,2016,,2025/04/30,to-read,to-read (#34),to-read,,,,0,0
53218051,Odzyskanie czasu,Baoshu,"Baoshu, Baoshu",Jan Andrzejewski,"=""8380625293""","=""9788380625297""",0,3.64,Dom Wydawniczy Rebis,Paperback,320,2020,2011,,2025/04/22,to-read,to-read (#33),to-read,,,,0,0
188606529,Neuromania - Le vrai du faux sur votre cerveau,Albert Moukheiber,"Moukheiber, Albert",,"=""2370734310""","=""9782370734310""",0,4.28,ALLARY,Paperback,285,2024,,,2025/04/22,to-read,to-read (#32),to-read,,,,0,0
228868428,Kaori,Marta Sobiecka,"Sobiecka, Marta",,"=""8397352198""","=""9788397352193""",0,3.52,Pulp Books,Paperback,270,2025,2025,,2025/04/22,to-read,to-read (#31),to-read,,,,0,0
223876013,Intermezzo,Sally Rooney,"Rooney, Sally",Jerzy Kozłowski,"=""8383873042""","=""9788383873046""",0,3.88,Wydawnictwo W.A.B.,Paperback,512,2025,2024,,2025/04/16,to-read,to-read (#30),to-read,,,,0,0
16180066,Podzieleni,Neal Shusterman,"Shusterman, Neal",,"=""8361386211""","=""9788361386216""",0,4.17,Papierowy Księżyc,Paperback,445,2012,2007,,2025/04/16,to-read,to-read (#29),to-read,,,,0,0
58352094,Ostatni dom na zapomnianej ulicy,Catriona Ward,"Ward, Catriona",Martyna Tomczak,"=""8366839842""","=""9788366839847""",2,3.83,Czwarta Strona,Paperback,400,2021,2021,2025/03/12,2025/02/08,,,read,,,,1,0
209463292,Masters of Death,Olivie Blake,"Blake, Olivie",Agnieszka Myśliwy,"=""8324089594""","=""9788324089598""",3,3.67,Znak Horyzont,Hardcover,507,2024,2018,2025/02/08,2024/07/19,,,read,Uhh how about bardziej rozbudowany świat całej tej ‘gry’ o której opowiadane jest przez całą książkę XDDD Rozumiem że nie do końca wszyscy chcieli walczyć przy stolikach ale chociaż lepiej opisać walkę z Wołosem (KTÓRA MA MNIEJ STRON NIŻ SAMA ROZMOWA ZE ŚMIERCIĄ TFTF). Początek był bardzo obiecujący ale końcówka wygląda jakby ktoś chciał szybko skończyć tą książkę i nigdy już na nią nie spojrzeć XDD Cały świat fantasy (oprócz stolików ofc) jest super opisany tak samo jak postacie.<br/><br/>Plusiki za cute ship gejowy więc daje 3/5 ,,,1,0
59116069,"Wigilia Wszystkich Świętych (Hercule Poirot, #41)",Agatha Christie,"Christie, Agatha",,"=""8327161377""","=""9788327161376""",4,3.57,Dolnośląskie,Hardcover,240,2021,1969,2024/11/12,2024/05/17,,,read,4.5/5 ,,,1,0
61078659,Uśpiona,Alicja Sinicka,"Sinicka, Alicja",,"=""8328098008""","=""9788328098008""",5,3.68,Wydawnictwo W.A.B.,Paperback,352,2022,2022,2024/10/22,2024/10/08,,,read,5.5/5 <br/>Trzyma cały czas w napięciu (aż mam ochotę wyprowadzić się z Wrocka ,,,1,0
